t,a
7.599167109,-0.148925781
7.604688644,-0.138916016
7.610200882,-0.108642578
7.615701199,-0.046630859
7.621231794,0.037353516
7.626746416,0.168945313
7.632262468,0.291748047
7.637770176,0.362304688
7.643402815,0.395996094
7.648911953,0.381103516
7.654420137,0.293701172
7.659924507,0.155761719
7.665555239,0.051757813
7.671067953,-0.043945313
7.676573515,-0.131591797
7.682255983,-0.156494141
7.687772989,-0.134033203
7.693274736,-0.157714844
7.698774338,-0.078125
7.70428896,0.011962891
7.709796429,0.153564453
7.715297699,0.166748047
7.720797062,0.243408203
7.726340055,0.297119141
7.731863499,0.360839844
7.73737359,0.293457031
7.742953539,0.208007813
7.748463631,0.191650391
7.753969193,0.142089844
7.75946784,0.323486328
7.765099287,0.205078125
7.770609379,0.042724609
7.776109457,0.280273438
7.781800985,0.314453125
7.787401199,0.293457031
7.792916775,0.286621094
7.798420668,0.404785156
7.803921461,0.308105469
7.809431076,0.361083984
7.814934731,0.214599609
7.820440054,0.200927734
7.825944662,0.196777344
7.831449747,0.255126953
7.836956739,0.272460938
7.842464447,0.202148438
7.847979307,0.145751953
7.85351038,0.037597656
7.859036684,-0.04296875
7.864591122,-0.133056641
7.870121002,-0.197021484
7.875651121,-0.223876953
7.881177902,-0.254394531
7.886744022,-0.224365234
7.892277002,-0.076904297
7.89780426,0.014160156
7.903328896,0.159912109
7.908861637,0.208496094
7.914390087,0.220458984
7.919918299,0.163085938
7.925443411,0.188476563
7.931001902,0.108642578
7.936537743,0.129882813
7.94206214,0.07421875
7.947592974,0.048339844
7.953122854,0.009277344
7.958648205,-0.023193359
7.964202166,-0.044677734
7.969760656,0.057617188
7.975311756,0.112792969
7.980844736,0.275146484
7.986525297,0.392822266
7.992068052,0.430664063
7.997598886,0.396728516
8.003127575,0.426757813
8.008704662,0.384033203
8.014237642,0.343017578
8.019766092,0.315429688
8.025294542,0.251953125
8.03083396,0.464111328
8.036364317,0.792419434
8.041923285,0.995544434
8.047466516,0.995544434
8.052999735,-1.071289063
8.058528423,-0.962890625
8.064056873,0.109375
8.069664001,0.979919434
8.075199604,0.954589844
8.080762625,0.746826172
8.086328268,0.423828125
8.09185791,0.313720703
8.097368956,0.296142578
8.102873564,0.244384766
8.108382463,0.148925781
8.113890886,0.022949219
8.119400978,-0.043701172
8.124905109,-0.041748047
8.130417109,0.091796875
8.135929823,0.263183594
8.141437292,0.365478516
8.146949768,0.486083984
8.152485371,0.563476563
8.158014774,0.586181641
8.163542509,0.569824219
8.169099569,0.552490234
8.174655914,0.540039063
8.180185318,0.513183594
8.185717583,0.496826172
8.191252708,0.480957031
8.196784973,0.479248047
8.202311993,0.444335938
8.207840443,0.432373047
8.213370562,0.403076172
8.218900204,0.405273438
8.224428177,0.385742188
8.229956865,0.351074219
8.23549509,0.307861328
8.241027355,0.249023438
8.246557236,0.227539063
8.252087831,0.203857422
8.257620335,0.187011719
8.263147116,0.161865234
8.268703699,0.167236328
8.274232388,0.182617188
8.279757738,0.185302734
8.285285234,0.201904297
8.290812969,0.213378906
8.296341658,0.238769531
8.301872492,0.246337891
8.307401896,0.265869141
8.312931299,0.330566406
8.318457365,0.342285156
8.323981285,0.382324219
8.329507589,0.416748047
8.335036755,0.382568359
8.340625048,0.307861328
8.346154928,0.317871094
8.351735115,0.231445313
8.357270718,0.168701172
8.362794876,0.163818359
8.368355751,0.120361328
8.373888016,0.156982422
8.379415989,0.194580078
8.384943008,0.194091797
8.390473366,0.21484375
8.396010876,0.205810547
8.401543856,0.202636719
8.407076836,0.190185547
8.41270113,0.139160156
8.418239117,0.116210938
8.423769474,0.060058594
8.429301977,0.047607422
8.434881449,0.038085938
8.440415859,0.013916016
8.445946693,-0.033203125
8.451476097,-0.016357422
8.457008123,0.025634766
8.462511063,0.034912109
8.468052149,0.127685547
8.473588943,0.111572266
8.479119539,0.133789063
8.484647274,0.109375
8.490197659,0.081542969
8.495727539,0.070800781
8.501256704,0.012695313
8.506786585,-0.019775391
8.512311459,-0.075195313
8.517843008,-0.074707031
8.52337122,-0.049804688
8.528900862,-0.005371094
8.53442955,0.047851563
8.539961338,0.106445313
8.545491695,0.16015625
8.551020622,0.251220703
8.556551933,0.239501953
8.562078953,0.180664063
8.567636728,0.118164063
8.573163748,0.016845703
8.578694105,-0.028808594
8.584220886,-0.124511719
8.589742661,-0.173095703
8.595301628,-0.194335938
8.600830317,-0.224365234
8.606357574,-0.224853516
